CPU Utilization [%],Sampling Rate [µs],Threshold [%],Modeled Arrival Rate [jobs/s],Measured Arrival Rate [jobs/s],Measured Mean Service Time [ms],Measured Mean Service Rate [jobs/s],Modeled MRT (k/λ) [ms],Modeled MRT (W+S) [ms],Measured MRT [ms],Measured Mean Interarrival Time [ms],Modeled Utilization [%],Modeled Busy Probability (1-π₀),Measured Utilization [%],Highest State,Measured Mean CPU Time [ms],Measured Mean CORE Frequency [KHz],Modeled CORE Power [W],Measured CORE Power [W]
40,10000,75,3.56,3.64,110.79,9.03,149.34,148.86,149.38,0.27,40.35,39.47,40.32,4,110.77,2001916,1.48,None
40,10000,75,3.56,3.58,110.6,9.04,147.74,147.06,147.78,0.28,39.63,39.65,39.6,4,110.57,1977391,1.45,None
40,10000,75,3.56,3.51,110.74,9.03,144.94,144.62,144.99,0.29,38.83,39.26,38.81,5,110.72,1957975,1.43,None
40,10000,75,3.56,3.53,110.71,9.03,146.49,144.85,146.53,0.28,39.08,38.43,39.06,5,110.68,1999182,1.47,None
40,10000,75,3.56,3.65,110.9,9.02,149.81,152.94,149.85,0.27,40.48,40.94,40.45,6,110.87,1986705,1.47,None
40,10000,75,3.56,3.57,110.66,9.04,147.67,148.12,147.71,0.28,39.45,39.29,39.42,5,110.62,1980432,1.46,None
40,10000,75,3.56,3.7,110.55,9.05,146.83,147.49,146.87,0.27,40.9,41.87,40.86,4,110.52,2002018,1.48,None
40,10000,75,3.56,3.71,110.37,9.06,147.84,148.59,147.88,0.27,40.93,41.75,40.89,6,110.35,1985277,1.47,None
50,10000,75,4.45,4.26,110.31,9.07,157.99,157.67,158.03,0.23,47.03,46.74,46.97,8,110.29,2069960,1.57,None
50,10000,75,4.45,4.23,110.01,9.09,158.44,160.17,158.48,0.24,46.54,47.18,46.49,5,109.99,2065078,1.57,None
50,10000,75,4.45,4.39,110.3,9.07,162.59,162.16,162.62,0.23,48.44,48.41,48.38,7,110.28,2082437,1.59,None
50,10000,75,4.45,4.33,109.98,9.09,159.28,159.11,159.32,0.23,47.6,46.84,47.55,7,109.96,2090538,1.6,None
50,10000,75,4.45,4.45,109.94,9.1,161.88,161.18,161.91,0.22,48.94,48.73,48.88,5,109.92,2094775,1.61,None
50,10000,75,4.45,4.62,110.19,9.07,165.67,163.12,165.71,0.22,50.91,49.77,50.83,7,110.17,2114115,1.63,None
